latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,bright_t31,frp,type
-77.524696,167.168198,336.25,0.4,0.44,2012-02-17,1312,N,n,249.2,8.96,2
-77.528145,167.16333,329.7,0.4,0.37,2012-02-21,1157,N,n,253.62,11.62,2
-77.525131,167.170609,338.5,0.49,0.48,2012-02-21,1338,N,n,248.69,8.53,2
-77.527138,167.16803,332.04,0.39,0.36,2012-02-22,1138,N,n,250.76,15.63,2
-77.52684,167.175934,337.26,0.42,0.45,2012-02-22,1319,N,n,249.62,13.91,2
-77.526443,167.168839,328.12,0.38,0.36,2012-02-23,1119,N,n,248.99,14.64,2
-77.528084,167.16069,324.65,0.55,0.42,2012-02-23,1300,N,n,240.88,10.27,2
-77.525047,167.17308,324.86,0.55,0.42,2012-02-23,1300,N,n,239.48,3.41,2
-77.528908,167.16774,326.65,0.55,0.42,2012-02-23,1300,N,n,243.43,6.8,2
-77.527885,167.155426,321.34,0.39,0.36,2012-02-24,1100,N,n,246.27,3.33,2
-77.525673,167.167542,331.12,0.39,0.36,2012-02-24,1100,N,n,250.71,9.65,2
-77.525856,167.169052,341.68,0.49,0.4,2012-02-24,1241,N,n,246.05,11.41,2
-77.525444,167.173264,346.89,0.35,0.57,2012-02-24,1422,N,n,243.01,5.97,2
-62.084759,-58.390739,322.53,0.42,0.38,2012-02-25,350,N,n,269.48,2.58,3
-62.082451,-58.395954,302.8,0.38,0.59,2012-02-25,531,N,n,265.54,3.48,3
-62.082535,-58.388325,349.28,0.38,0.59,2012-02-25,531,N,n,273.57,3.48,3
-62.080189,-58.393372,300.99,0.38,0.59,2012-02-25,531,N,n,266.95,2.75,3
-77.525291,167.156784,324.64,0.4,0.37,2012-02-25,1042,N,n,246.85,11.31,2
-77.525833,167.168823,331.44,0.44,0.38,2012-02-25,1222,N,n,248.87,8.88,2
-77.527313,167.18428,335.73,0.6,0.53,2012-02-25,1403,N,n,246.85,4.54,2
-77.527679,167.162262,337.4,0.41,0.37,2012-02-26,1023,N,n,249.03,10.36,2
-77.528183,167.162811,325.44,0.41,0.37,2012-02-26,1023,N,n,249.07,9.67,2
-77.525932,167.167206,341.1,0.41,0.37,2012-02-26,1203,N,n,247.16,9.88,2
-77.526718,167.16806,336.63,0.51,0.5,2012-02-26,1344,N,n,244.22,7.13,2
-77.524849,167.155807,323.44,0.43,0.38,2012-02-27,1004,N,n,246.55,11.13,2
-77.525757,167.163498,327.14,0.39,0.36,2012-02-27,1144,N,n,249.76,10.91,2
-77.525215,167.155624,325.69,0.45,0.39,2012-02-28,945,N,n,247.28,5.72,2
-77.526588,167.169174,333.66,0.38,0.36,2012-02-28,1125,N,n,246.28,9.77,2
-77.527336,167.161255,328.58,0.39,0.36,2012-02-29,1107,N,n,250.58,13.6,2
-77.527534,167.158554,324.06,0.5,0.41,2012-02-29,1247,N,n,240.11,7.15,2
-77.527443,167.163452,330.35,0.5,0.41,2012-02-29,1247,N,n,244.6,11.43,2
-77.529457,167.179398,320.51,0.5,0.41,2012-02-29,1247,N,n,241.79,4.78,2
-77.526138,167.18338,352.13,0.37,0.58,2012-02-29,1428,N,n,244.73,5.84,2
-77.527519,167.160904,338.12,0.39,0.37,2012-03-01,1048,N,n,246.36,12.22,2
-77.528313,167.173279,325.89,0.45,0.39,2012-03-01,1228,N,n,246.14,5.95,2
-77.525803,167.159164,326.77,0.41,0.37,2012-03-02,1029,N,n,242.66,5.91,2
-77.526497,167.169983,329.71,0.42,0.38,2012-03-02,1209,N,n,242.16,7.79,2
-77.526611,167.164642,329.24,0.54,0.51,2012-03-02,1350,N,n,237.17,3.7,2
-77.525475,167.166245,334.42,0.43,0.38,2012-03-03,1010,N,n,240.28,9,2
-77.526146,167.156845,333.55,0.43,0.38,2012-03-03,1010,N,n,239.55,9.18,2
-77.526909,167.176422,321.09,0.4,0.37,2012-03-03,1151,N,n,234.75,2.62,2
-77.527504,167.170471,321.3,0.44,0.39,2012-03-04,952,N,n,232.61,1.99,2
-77.523514,167.166687,324.22,0.48,0.4,2012-03-06,914,N,n,235.43,6.49,2
-77.525566,167.163651,337.7,0.39,0.36,2012-03-06,1054,N,n,240.98,14.07,2
-77.526138,167.178894,324.91,0.47,0.4,2012-03-06,1235,N,n,238.13,4.09,2
-77.524536,167.163559,324.37,0.47,0.4,2012-03-06,1235,N,n,233.2,7.1,2
-77.529564,167.171921,324.97,0.47,0.4,2012-03-06,1235,N,n,236.94,4.09,2
-77.528084,167.175705,350.18,0.34,0.56,2012-03-06,1416,N,n,239.82,5.08,2
-77.525192,167.172302,336.77,0.34,0.56,2012-03-06,1416,N,n,233.36,4.98,2
-74.201805,126.037956,334.95,0.47,0.48,2012-03-07,1217,N,n,212.86,0.01,0
-71.172783,155.933228,334.26,0.51,0.66,2012-03-07,1536,N,n,224.51,0.08,0
-74.620644,111.454643,367,0.62,0.71,2012-03-07,1901,N,h,210.24,0.02,0
-69.578239,47.349537,324.15,0.35,0.57,2012-03-07,2222,N,n,229.21,0.01,0
-72.554199,26.662949,367,0.44,0.63,2012-03-08,4,N,h,227.06,0.02,0
-72.732193,-2.985368,333.29,0.33,0.55,2012-03-09,2008,N,n,244.02,0.04,0
-77.525162,167.166977,328.38,0.47,0.4,2012-03-11,920,N,n,243.64,4.25,2
-77.526947,167.154114,321.41,0.39,0.36,2012-03-11,1100,N,n,243.12,1.99,2
-77.524742,167.166229,325.8,0.39,0.36,2012-03-11,1100,N,n,243.82,2.56,2
-77.526634,167.179306,326,0.49,0.4,2012-03-11,1241,N,n,246.16,7.72,2
-77.526779,167.167709,337.62,0.48,0.4,2012-03-12,902,N,n,244.18,6.43,2
-77.525604,167.16684,331.2,0.4,0.37,2012-03-12,1042,N,n,245.6,4.57,2
-77.527611,167.153748,326.34,0.4,0.37,2012-03-12,1042,N,n,243.16,4.57,2
-77.52739,167.168472,323.12,0.6,0.53,2012-03-12,1403,N,n,243.38,5.84,2
-77.527771,167.171021,328.31,0.39,0.36,2012-03-14,1144,N,n,247.01,8.25,2
-77.52681,167.157318,325.28,0.5,0.41,2012-03-15,805,N,n,243.13,4.75,2
-77.526451,167.15329,330.7,0.45,0.39,2012-03-15,945,N,n,243.59,7.26,2
-77.527725,167.16185,332.06,0.38,0.36,2012-03-15,1126,N,n,248.83,10.28,2
-77.529716,167.177368,325.11,0.57,0.43,2012-03-15,1306,N,n,241.53,5.8,2
-77.525719,167.182037,324.59,0.57,0.43,2012-03-15,1306,N,n,242.57,5.8,2
-77.527428,167.169937,325.75,0.49,0.41,2012-03-16,747,N,n,247.55,13.36,2
-77.527832,167.159561,325.19,0.47,0.39,2012-03-16,926,N,n,243.53,6.74,2
-77.526749,167.176117,324.53,0.47,0.39,2012-03-16,926,N,n,240.83,6.74,2
-77.527977,167.163651,339.26,0.39,0.36,2012-03-16,1107,N,n,248.53,9.45,2
-77.526283,167.17807,330.06,0.5,0.41,2012-03-16,1247,N,n,243.95,6.2,2
-77.52475,167.185181,325.95,0.37,0.58,2012-03-16,1428,N,n,241.8,2.79,2
-77.527351,167.163239,326.61,0.48,0.4,2012-03-17,728,N,n,246.3,14.56,2
-77.527405,167.174973,324.62,0.48,0.4,2012-03-17,908,N,n,238.91,5.76,2
-77.52491,167.162231,325.85,0.39,0.37,2012-03-17,1048,N,n,244,7.16,2
-77.527802,167.164688,340.83,0.45,0.39,2012-03-17,1228,N,n,241.3,6.89,2
-77.526695,167.153595,327.12,0.49,0.4,2012-03-18,849,N,n,238.96,5.37,2
-77.526176,167.171173,326.53,0.49,0.4,2012-03-18,849,N,n,236.97,5.37,2
-77.527489,167.166977,325.86,0.41,0.37,2012-03-18,1029,N,n,244.32,9.2,2
-77.526588,167.160309,325.79,0.42,0.38,2012-03-18,1209,N,n,242.31,10.28,2
-77.52861,167.176666,338.41,0.54,0.51,2012-03-18,1350,N,n,240.13,7.53,2
-77.527695,167.157501,324.67,0.5,0.41,2012-03-19,830,N,n,239.41,5.84,2
-77.527451,167.175293,324.32,0.5,0.41,2012-03-19,830,N,n,241.43,6.52,2
-77.527481,167.168137,339.03,0.4,0.37,2012-03-19,1151,N,n,246.11,11.79,2
-77.526062,167.173874,325.57,0.5,0.41,2012-03-20,812,N,n,240.51,7.02,2
-77.526001,167.156006,325.63,0.5,0.41,2012-03-20,812,N,n,236.33,7.02,2
-77.525993,167.161926,328.42,0.5,0.41,2012-03-20,812,N,n,243.32,13.95,2
-77.527138,167.172989,323.28,0.44,0.39,2012-03-20,952,N,n,238.99,12.75,2
-77.526245,167.166397,339.76,0.39,0.36,2012-03-20,1132,N,n,241.88,11.65,2
-77.524796,167.17131,324.11,0.4,0.44,2012-03-20,1313,N,n,234.8,3.06,2
-86.526474,77.273941,327.02,0.44,0.46,2012-03-20,1638,N,n,233.4,0.02,0
-77.526138,167.159119,327.64,0.5,0.41,2012-03-21,753,N,n,237.43,7.66,2
-77.526772,167.163574,340.78,0.46,0.39,2012-03-21,933,N,n,238.6,6.09,2
-77.524658,167.164871,325.13,0.38,0.36,2012-03-21,1113,N,n,236.8,5.09,2
-77.526787,167.164948,327.2,0.53,0.42,2012-03-21,1254,N,n,234.88,4.88,2
-77.526184,167.162643,328.54,0.49,0.4,2012-03-22,734,N,n,242.79,11.1,2
-77.524826,167.163818,328.78,0.48,0.4,2012-03-22,914,N,n,240.61,11.02,2
-77.525787,167.166046,335.36,0.39,0.36,2012-03-22,1054,N,n,242.39,12.2,2
